date,holiday_name,type
26-01-2017,Republic Day,national
24-02-2017,Maha Shivratri,festive
13-03-2017,Holi,festive
30-03-2017,Sarhul,festive
04-04-2017,Ram Navami,festive
14-04-2017,Ambedkar Jayanti,national
01-05-2017,Labour Day,industrial
10-05-2017,Buddha Purnima,festive
26-06-2017,Eid-ul-Fitr,festive
15-08-2017,Independence Day,national
02-09-2017,Karma Puja,local
28-09-2017,Maha Ashtami,festive
29-09-2017,Maha Navami,festive
30-09-2017,Vijaya Dashami,festive
02-10-2017,Gandhi Jayanti,national
19-10-2017,Diwali,festive
26-10-2017,Chhath Puja (Evening Arghya),local
27-10-2017,Chhath Puja (Morning Arghya),local
04-11-2017,Guru Nanak Jayanti,festive
15-11-2017,Birsa Munda Jayanti,festive
25-12-2017,Christmas,national
